step,vocab_size,compression_rate,best_pair_count
324,581,0.38852032713134155,699439
325,582,0.3882006562754602,698767
326,583,0.3878818797899817,696812
327,584,0.38756479231500296,693120
328,585,0.3872546242018361,677995
329,586,0.3869446592091086,677551
330,587,0.3866356370795013,675490
331,588,0.38632807750855275,672293
332,589,0.38602071053603876,671872
333,590,0.38571409977543053,670219
334,591,0.38541064058398083,663330
335,592,0.3851093978757032,658485
336,593,0.3848088505346953,656965
337,594,0.38451048399353915,652198
338,595,0.3842125909425962,651163
339,596,0.38391599392815,648330
340,597,0.3836207011848129,645479
341,598,0.383327708185729,640452
342,599,0.3830352554687144,639271
343,600,0.38274381423659015,637060
344,601,0.38245353545725036,634519
345,602,0.3821637182736836,633510
346,603,0.38187481238722293,631518
347,604,0.38158787640304076,627212
348,605,0.3813015461203488,625888
349,606,0.3810163348299868,623442
350,607,0.38073170407979934,622173
351,608,0.38044722841481216,621834
352,609,0.38016418831725407,618696
353,610,0.3798817013111625,617487
354,611,0.3795997449800926,616327
355,612,0.37931840578747444,614978
356,613,0.37903723174458287,614617
357,614,0.37875774762714803,610923
358,615,0.3784783303015694,610777
359,616,0.37819970761608773,609040
360,617,0.37792135072559535,608459
361,618,0.377644804534875,604501
362,619,0.3773688356819798,603239
363,620,0.3770931513806911,602617
364,621,0.3768182983177767,600800
365,622,0.3765440221352091,599539
366,623,0.37627033381247144,598254
367,624,0.3759968239063359,597864
368,625,0.3757243771801574,595540
369,626,0.37545416340637583,590659
370,627,0.37518398211356546,590588
371,628,0.3749156911217803,586456
372,629,0.37464759776069284,586024
373,630,0.37438002455262226,584887
374,631,0.3741124591216856,584870
375,632,0.3738457839438456,582924
376,633,0.3735804537526982,579984
377,634,0.3733153925588894,579396
